Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°C),Temperature Sampled High (°C),Dew Point Sampled Low (°C),Dew Point Sampled High (°C),Wind Speed Min (kph),Wind Speed Max (kph),Gust Speed Max (kph),Wind Direction Dominant (degrees),Visibility Min (km),Visibility Max (km),Precipitation (mm),Snow Depth Max (mm),Pressure Altimeter Min (mbar),Pressure Altimeter Max (mbar),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
VTSP,Asia/Bangkok,2017-11-04,24,32,20,23,0,24.08,,NE,7,8,,,1005,1009,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-05,23,32,20,21,0,22.22,,NE,7,8,,,1005,1010,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-06,24,31,21,23,0,18.52,,E,8,10,,,1006,1010,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-07,24,32,21,24,0,16.67,,E,8,10,,,1005,1010,FEW,mostly clear,SCT,partly cloudy,TS,thunderstorm,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-08,25,32,22,24,0,14.82,,E,8,9,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-09,24,32,22,25,0,18.52,,W,5,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-10,24,32,22,24,0,12.96,,E,7,10,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,-TSRA,thunderstorm with light rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-11,24,31,22,24,0,16.67,,NW,7,9,,,1008,1013,FEW,mostly clear,BKN,mostly cloudy,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-12,25,30,22,24,0,16.67,,NE,8,9,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-13,25,31,22,24,0,22.22,,W,5,10,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,RA,rain,RERA,recent rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-14,25,31,23,24,0,22.22,,W,7,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,-TSRA,thunderstorm with light rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-15,25,32,20,24,0,12.96,,E,5,10,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,-RA,light rain,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-16,25,32,22,24,0,16.67,,E,7,10,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-17,25,32,21,24,0,14.82,,E,1,10,,,1007,1012,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-18,25,34,19,24,0,18.52,,W,8,10,,,1007,1012,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-19,25,32,23,25,0,22.22,,W,8,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-20,25,32,21,24,0,24.08,,W,7,10,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-21,25,31,22,25,0,14.82,,E,8,10,,,1007,1011,FEW,mostly clear,SCT,partly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-22,25,32,22,24,0,16.67,,E,7,10,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,-TSRA,thunderstorm with light rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,
